Gene	PM1	PM2	LN1	LN2
VPS13B	2012	1250	808	493
VPS13C	1080	760	880	656
VPS13D	1951	1213	1520	1081
VPS16	747	618	808	856
VPS18	570	613	877	939
VPS24	132	140	126	100
VPS25	2246	1981	2021	2243
VPS26A	2423	2158	1948	2083
VPS26B	1366	1167	2209	2324
VPS28	1140	1557	1437	1724
VPS29	1565	1643	1557	1844
VPS33A	1102	859	912	911
VPS33B	992	920	602	710
VPS35	3705	2889	2332	2325
VPS36	1151	1170	390	397
VPS37A	738	509	1117	1021
VPS37B	823	869	1421	1435
VPS37C	1061	1341	1769	1876
VPS37D	103	184	41	49
VPS39	1398	1237	1789	1693
VPS41	2206	1981	1043	1040
VPS45	2431	2284	877	1061
VPS4A	3100	3013	2108	2393
VPS4B	4551	4090	1002	998
VPS52	2351	2027	1904	1982
VPS53	1074	689	883	849
VPS54	1081	1021	799	749
VPS72	2299	2079	1186	1366
VPS8	970	799	603	462
VRK1	1603	1108	1011	995
VRK2	581	369	494	470
VRK3	396	431	820	824
VRTN	0	0	1	1
VSIG1	0	1	4	2
VSIG10	1133	1009	849	829
VSIG10L	91	93	228	179
VSIG2	3	5	3	6
VSIG4	0	0	0	0
VSIG8	0	2	0	0
VSNL1	1	0	2	0
VSTM1	0	0	0	0
VSTM2A	0	0	0	0
VSTM2B	1	0	0	0
VSTM2L	0	0	1	0
VSTM4	0	0	0	0
VSTM5	0	1	0	0
VSX1	0	0	0	0
VSX2	1	0	2	0
VTA1	1777	1544	3446	3449
VTCN1	293	463	3	11
VTI1A	709	502	589	490
VTI1B	1441	1088	819	829
VTN	4	3	5	1
VTRNA1-1	0	1	0	0
VTRNA1-2	2	0	2	0
VTRNA1-3	2	4	10	13
VTRNA2-1	0	0	0	0
VWA1	373	515	1151	1231
VWA2	5	1	84	69
VWA3A	1	5	0	1
VWA3B	3	2	2	3
VWA5A	16	21	140	167
VWA5B1	0	0	2	3
VWA5B2	6	11	2	5
VWC2	0	0	0	0
VWC2L	0	0	0	0
VWCE	52	30	9	10
VWDE	265	243	5	19
VWF	73	25	132	156
WAC	6053	4611	4484	4213
WAPAL	3173	2365	1188	1175
WARS	4057	2027	3338	3228
WARS2	671	683	737	724
WAS	24	38	37	23
WASF1	711	562	409	406
WASF2	2229	1984	2766	2594
WASF3	630	462	2350	2122
WASH1	14	24	65	60
WASH2P	39	69	27	34
WASH3P	61	79	40	36
WASH5P	0	0	4	2
WASH7P	8	6	9	5
WASL	2456	2149	1191	1009
WBP1	18	35	40	34
WBP11	2120	1561	2669	2871
WBP11P1	185	134	247	216
WBP2	1578	1856	2846	2889
WBP2NL	3	0	0	0
WBP4	823	766	258	308
WBP5	0	0	438	458
WBSCR16	497	474	379	410
WBSCR17	0	0	1	0
WBSCR22	2510	1928	1823	2228
WBSCR27	11	40	224	224
WBSCR28	16	8	1	6
WDFY1	1428	1437	1352	1202
WDFY2	184	120	132	114
WDFY3	1993	1373	1277	880
WDFY4	5	6	0	1
WDHD1	2041	1463	1843	1844
WDPCP	119	140	73	82
WDR1	7074	5839	4996	5223
WDR11	1895	1494	2029	1953
WDR12	1569	815	1370	1365
WDR13	560	722	1217	1335
WDR16	13	11	32	33
WDR17	307	177	41	54
WDR18	764	608	1469	1309
WDR19	445	359	487	411
WDR20	948	662	455	492
WDR24	296	386	578	585
WDR25	215	273	202	223
WDR26	3786	3603	2436	2160
WDR27	255	225	154	139
WDR3	3370	1745	2990	3198
WDR31	56	50	245	156
WDR33	3367	2535	1685	1637
WDR34	3377	3275	1521	1849
WDR35	463	275	648	536
WDR36	2222	1097	1993	1782
WDR37	673	664	611	603
WDR38	1	1	1	4
WDR4	640	337	222	253
WDR41	1353	1320	1052	1029
WDR43	3765	1772	3332	3166
WDR44	331	333	560	539
WDR45	245	293	648	795
WDR45L	3405	3393	2822	2971
WDR46	2213	1704	1125	1329
WDR47	460	494	453	432
WDR48	802	663	542	537
WDR49	0	0	1	2
WDR5	2847	2228	1994	2042
WDR52	154	186	135	115
WDR53	522	513	308	401
WDR54	777	1222	773	912
WDR55	1361	1111	859	822
WDR59	4480	2990	803	892
WDR5B	444	392	405	488
WDR6	5067	5110	3985	3874
WDR60	1350	1140	243	220
WDR61	2995	2659	2064	2375
WDR62	1714	1030	1085	1022
WDR63	8	1	7	4
WDR64	2	6	3	1
WDR65	2	6	13	8
WDR66	4	11	156	113
WDR67	798	586	458	460
WDR69	0	0	0	1
WDR7	807	565	575	500
WDR70	820	719	706	737
WDR72	3844	3852	298	325
WDR73	1702	1480	722	706
WDR74	1495	1097	1424	1666
WDR75	2580	1584	1523	1564
WDR76	664	451	841	860
WDR77	2443	1448	1672	1975
WDR78	16	23	18	19
WDR81	695	468	990	986
WDR82	3638	2775	5269	5019
WDR83	593	688	282	363
WDR85	986	798	678	729
WDR86	2	0	0	3
WDR87	2	3	1	0
WDR88	25	22	53	72
WDR89	959	689	1049	1023
WDR90	243	320	1624	1417
WDR91	331	414	561	507
WDR92	540	407	219	245
WDR93	10	17	3	3
WDR96	6	8	24	13
WDSUB1	391	469	161	147
WDTC1	1144	1049	1600	1494
WDYHV1	896	743	255	311
WEE1	1272	1233	1385	1548
WEE2	3	0	0	1
WFDC1	0	0	0	0
WFDC10A	0	0	0	1
WFDC10B	1	0	0	1
WFDC11	0	0	1	0
WFDC12	0	0	0	4
WFDC13	1	0	1	1
WFDC2	52	46	0	0
WFDC3	1	2	7	11
WFDC5	0	0	0	0
WFDC6	0	0	1	0
WFDC8	0	0	0	0
WFDC9	0	0	0	0
WFIKKN1	2	0	8	9
WFIKKN2	6	0	1	2
WFS1	861	583	927	909
WHAMM	598	555	227	229
WHAMMP2	7	12	19	18
WHAMMP3	10	3	18	38
WHSC1	7871	5704	4946	4512
WHSC1L1	1671	1059	1442	1123
WHSC2	1158	997	992	987
WIBG	1096	1146	937	1161
WIF1	1	0	1	1
WIPF1	11	32	5	3
WIPF2	1422	876	1291	1082
WIPF3	2	1	1	0
WIPI1	413	547	173	161
WIPI2	1743	1680	1360	1453
WISP1	1	1	7	2
WISP2	110	40	1	1
WISP3	0	0	1	0
WIZ	1282	955	1616	1487
WLS	33	24	334	367
WNK1	8036	4426	5587	3812
WNK2	402	257	664	492
WNK3	7	1	513	389
WNK4	39	28	27	23
WNT1	0	0	0	1
WNT10A	1	2	134	117
WNT10B	88	49	417	485
WNT11	2	3	1	1
WNT16	1	0	0	0
WNT2	0	0	6	5
WNT2B	7	5	19	18
WNT3	35	45	8	14
WNT3A	1	5	2	0
WNT4	29	26	44	58
WNT5A	13	11	291	264
WNT5B	10	21	1	3
WNT6	26	20	0	0
WNT7A	0	0	2	1
WNT7B	956	500	1067	853
WNT8A	0	0	0	0
WNT8B	28	7	7	3
WNT9A	17	26	12	9
WNT9B	0	0	1	1
WRAP53	722	681	889	1021
WRAP73	617	448	522	498
WRB	2176	2028	945	1097
WRN	753	443	496	475
WRNIP1	2310	1900	1357	1463
WSB1	1709	2548	1425	1271
WSB2	1714	1808	4902	5172
WSCD1	36	25	25	20
WSCD2	0	0	0	0
WT1	9	3	11	18
WT1-AS	0	0	0	1
WTAP	1194	997	2189	2342
WTH3DI	193	150	95	85
WTIP	35	21	7	1
WWC1	2552	1339	2553	2580
WWC2	1226	757	37	22
WWC3	2224	1873	843	723
WWOX	670	467	157	199
WWP1	4408	3203	1408	1346
WWP2	1591	1366	1433	1459
WWTR1	533	654	33	19
WWTR1-AS1	9	11	0	0
