"ID","PM1_raw","PM2_raw","LN1_raw","LN2_raw","logFC_limma","AveExpr_limma","t_limma","P.Value_limma","adj.P.Val_limma","B_limma","baseMean_deseq","baseMeanA_deseq","baseMeanB_deseq","foldChange_deseq","log2FoldChange_deseq","pval_deseq","padj_deseq","baseMean_deseq2","log2FoldChange_deseq2","lfcSE_deseq2","stat_deseq2","pvalue_deseq2","padj_deseq2"
"ZFP37",0,0,157,216,8.54973610875396,-0.909243444874134,16.8228832638878,1.06585179536183e-06,4.55053221754583e-05,5.64265931617927,93.1553362527166,0,186.310672505433,Inf,Inf,1.85294981481892e-25,4.22054051928559e-24,92.837449772347,7.88873315525324,1.05272727626724,7.49361523454118,6.70019537757707e-14,6.84271683998242e-13
"ZFP82",0,0,65,83,7.22954118724776,-1.56931942964976,15.1961257731037,2.0646518492556e-06,5.92448655383303e-05,5.13133163152626,36.9654273881595,0,73.9308547763189,Inf,Inf,5.92149012889028e-12,5.78954847030744e-11,36.8351157637698,6.66796574497374,1.12717045711226,5.91566759304238,3.3053215220393e-09,2.13275378368405e-08
"ZFY",0,2,593,585,9.06313171762427,0.508538165604986,13.9328250131753,3.62057091107384e-06,7.67855849705929e-05,4.84332829492203,294.835890463221,1.05503005200624,588.616750874436,557.91467717448,9.12390069493076,5.40414889851334e-61,4.04352366777474e-59,293.681010551964,8.32244244849079,0.749907999141789,11.0979512927121,1.28352297254357e-28,3.33264172774992e-27
"ZFYVE28",468,474,151,120,-1.78037067762521,3.80595695544317,-8.34018489828396,9.27471271415905e-05,0.000561689194268718,1.77712189288125,303.226392686418,471.008739356627,135.444046016208,0.287561641003131,-1.79805685313458,3.80986474496612e-09,2.73308699256152e-08,303.442462220548,-1.78962854727088,0.278523358942157,-6.42541636029367,1.31509059150709e-10,9.97256547615746e-10
"ZFYVE9",588,452,1178,996,1.08872867725781,5.37293240312192,6.34931298128644,0.000474754802065891,0.00182266553940717,-0.249343128234053,801.269488035101,516.061515715623,1086.47746035458,2.1053254840132,1.07404329166303,9.69134594879211e-06,4.20169662209781e-05,799.701464674924,1.05714133557484,0.223730992480057,4.72505540630037,2.30052623534279e-06,1.0189121110028e-05
"ZHX2",2075,1682,755,795,-1.24895728434502,6.05955876474666,-8.69134579877833,7.19528380979242e-05,0.000477068912724541,1.80058092209941,1320.7166403813,1866.99337275356,774.43990800905,0.414805922351431,-1.26949160265029,2.02706002671068e-08,1.31517922572179e-07,1321.64079207968,-1.27253055548822,0.199984618322367,-6.36314215644803,1.97667584804483e-10,1.47077008996201e-09
"ZIC1",342,373,3,1,-7.26160620858305,0.665709255201336,-13.7417846821586,3.95795549946852e-06,8.12581333765001e-05,4.76507270017292,180.119793752201,358.238709452695,2.00087805170749,0.00558532062256579,-7.48414418438163,4.46304254658774e-40,1.78483227358798e-38,180.472032087071,-7.01535013333741,0.659120692328607,-10.6434985503988,1.86974223562014e-26,4.3470167621266e-25
"ZIC2",146,125,471,479,1.82985087993425,3.81459909036393,9.65721020101404,3.73680546111158e-05,0.000311362788408989,2.76540895851426,304.774185830937,134.873408349851,474.674963312023,3.51941104714099,1.81533402248204,2.5225081581882e-09,1.86832070449735e-08,304.021094468398,1.78964877328565,0.268704221163009,6.66029273950243,2.73282703667171e-11,2.22074697802246e-10
"ZIC4",205,246,0,0,-8.78694900629539,-0.766491648137737,-17.5264742966518,8.15945865307514e-07,4.09289898885783e-05,5.82295472881058,113.279814535334,226.559629070668,0,0,-Inf,1.460585041216e-29,4.03312738464347e-28,113.485205878891,-8.15542763965335,1.03845758958255,-7.85340462765723,4.04892724645412e-15,4.56291606635121e-14
"ZIK1",0,0,30,33,6.01926728249047,-2.17439462114747,12.6970001372814,6.58330990056536e-06,0.000105431442906983,4.2217894775154,15.7378584440356,0,31.4757168880711,Inf,Inf,1.32694798381718e-05,5.57661387705627e-05,15.6787861305027,5.4811873740335,1.217536939942,4.50186535966178,6.73596500742195e-06,2.75273835659641e-05
"ZMIZ2",2863,2505,1294,1134,-1.12344873652328,6.64151546037914,-7.90522086138025,0.000128659433816661,0.000703557304686236,1.12316514941434,1943.2808782397,2673.19314133478,1213.36861514461,0.453902337389193,-1.13954617737359,1.72695379570333e-07,9.72643301287059e-07,1944.03372292393,-1.14371909685999,0.192973197867392,-5.92682874875678,3.08840755055328e-09,1.99835238159404e-08
"ZMYM3",1606,1456,720,572,-1.23124156364215,5.77939418554007,-7.46841243864254,0.000181501913485961,0.000904390307906952,0.789093180489112,1086.03483753374,1526.33620895461,645.733466112874,0.423061093830131,-1.24106207834742,8.95074686229262e-08,5.27158459934517e-07,1086.45992266079,-1.24351990387958,0.214051840848763,-5.80943335478337,6.26846407323617e-09,3.9004844701103e-08
"ZMYM6NB",114,191,4,4,-5.00515642291692,0.516462340073996,-7.94956334815855,0.000124352781414266,0.000689041785257376,1.79108871764548,79.288954411242,154.580571551106,3.99733727137767,0.0258592475837502,-5.27317589154011,1.9081574908425e-06,9.23038852973758e-06,79.373597400512,-4.99561146664285,0.629182486013347,-7.93984508102928,2.0243393234286e-15,2.33648496021332e-14
"ZMYND15",15,20,82,103,2.40275100632608,1.16928811853489,6.51243525906037,0.000409456719778232,0.00163324997682822,0.523817983879931,55.023894709429,17.6325638864454,92.4152255324126,5.24116776933698,2.38988829026119,4.9988386363385e-05,0.000187618223575844,54.8740713098082,2.3013656497611,0.530123763898542,4.3411855994472,1.41715950600429e-05,5.51106265598795e-05
"ZMYND8",4569,4041,2082,1785,-1.13532359506096,7.31757597894111,-7.85422073841526,0.000133823765187109,0.000724115606574261,1.06922044233458,3110.74332165491,4288.94564147886,1932.54100183095,0.450586499194846,-1.15012400775974,5.4435345917459e-08,3.30098783936068e-07,3111.90277034965,-1.15450283168254,0.188427298764753,-6.12704655456484,8.95252840217763e-10,6.17694008973378e-09
"ZNF100",635,508,150,165,-1.82955154742087,4.05293858745471,-9.54272951890023,4.02616888817294e-05,0.00032775246681121,2.65777273467357,362.586016746743,567.793449053131,157.378584440356,0.277175766474243,-1.85112696697839,1.78930418908015e-10,1.51102830093619e-09,363.028931708965,-1.84501054715782,0.259878620798306,-7.09950876870994,1.25201102225277e-12,1.15769999254233e-11
"ZNF114",131,114,1,0,-7.12646494497322,-0.807829933625035,-13.0113845533163,5.62622014823079e-06,9.6140682182888e-05,4.45406236399383,61.2446257821826,121.988479697434,0.500771866931538,0.00410507507080665,-7.92837567939709,2.00421594404592e-17,2.90246340200698e-16,61.3914878212032,-6.63585407436333,0.931912922889079,-7.12068038909807,1.07395571399387e-12,9.98176021001867e-12
"ZNF117",308,420,18,32,-3.84715432631746,2.38062620886286,-8.90659842408037,6.18497073761465e-05,0.000433633439573718,2.42859822395305,195.973338705844,366.978785377707,24.9678920339798,0.0680363362374803,-3.87755073593294,3.04595056205223e-09,2.22282907891078e-08,196.223768227665,-3.80959640751945,0.389155128410488,-9.78940306679196,1.25031845982722e-22,2.31622921987171e-21
"ZNF124",101,87,297,317,1.72530967740751,3.23737516406545,8.11509112428533,0.000109663136194121,0.00063091437222554,1.66866911763689,200.177294340316,93.5810472625834,306.773541418049,3.27815888357457,1.71288577969368,6.61060563047155e-07,3.42388532040464e-06,199.70937199225,1.68358235932793,0.30667795522608,5.48974039587167,4.02524925125018e-08,2.26732887363027e-07
"ZNF132",15,29,262,219,3.52474629466462,1.98917127230675,8.95765710659404,5.96969461716219e-05,0.000424311746614128,2.48039602617866,131.383802503228,22.3801991204734,240.387405885983,10.7410753850745,3.42506653653904,5.21998459572116e-15,6.44600937166384e-14,130.892482871219,3.35093442408068,0.423111901676703,7.91973567938324,2.38016010788893e-15,2.73162929496616e-14
"ZNF134",116,124,458,411,1.8754872282745,3.66382740203212,8.90329881152632,6.19918423390984e-05,0.000433974079392974,2.23583557387588,277.22202448546,120.181366591082,434.262682379838,3.61339444455995,1.85335475052165,2.85313709566018e-09,2.09646826611947e-08,276.461250792056,1.82750900279024,0.282548714743636,6.46794307469558,9.93459062126869e-11,7.64793816897288e-10
"ZNF143",396,315,1022,971,1.513029492358,5.04005588787261,9.4315279110206,4.33196428419666e-05,0.000344305807785065,2.45407967090099,674.515986951965,353.138986063493,995.892987840437,2.82011623508875,1.49575462657096,2.9676922824692e-09,2.17147074106855e-08,672.995646854964,1.47660148862336,0.222890072266648,6.62479702934849,3.47725639306282e-11,2.80183300628716e-10
"ZNF155",14,8,124,127,3.51720262732712,1.05134854817358,9.44608827990089,4.29045483199481e-05,0.000341591875840228,2.82998496785271,68.121687724381,10.8302326833157,125.413142765446,11.5799121249397,3.53355240025297,1.47025963326175e-09,1.12798254223285e-08,67.8969826395794,3.39195930089076,0.52217261075507,6.49585832544134,8.25613259759945e-11,6.42592421073592e-10
"ZNF175",2,0,270,243,7.86337902697307,-0.0913035429535056,12.6698262152265,6.67444576307537e-06,0.0001064012161337,4.35360945879139,128.651690712765,0.944301782184397,256.359079643345,271.480033692539,8.08470228706038,4.24936842052051e-32,1.28005325342822e-30,128.133909577416,7.17920900012585,0.789314497614976,9.09549871669509,9.41533572589348e-20,1.43736658663969e-18
"ZNF185",1283,1085,139,133,-3.09232211495667,4.47510595552419,-16.8179236580211,1.06790147001895e-06,4.55053221754583e-05,6.48009211122378,657.019745979786,1178.12339648468,135.916095474897,0.115366604109933,-3.11570243639624,1.62219366384265e-30,4.63574316626247e-29,658.21818191805,-3.10428958532738,0.232133926789633,-13.3728388101606,8.71501260395255e-41,3.64503156023046e-39
"ZNF189",359,328,738,706,1.09286098011289,4.78704809231245,6.9319802839187,0.000283418106335755,0.0012450535940261,0.391871242409189,532.040913285545,342.527098431122,721.554728139967,2.10656246307199,1.07489069483592,3.49755657381413e-05,0.000135284866141665,531.010086450452,1.05892395774075,0.229090709065112,4.62229115297636,3.79524829329576e-06,1.61566865959086e-05
"ZNF195",612,457,1082,1069,1.04132706186608,5.38616525780748,6.51372785296564,0.000408981531502634,0.00163182224022998,-0.0855858465938368,802.414566138821,530.030712231851,1074.79842004579,2.02780404086404,1.01991824261088,2.6446697151139e-05,0.000104919807369556,801.033127865226,1.00377366657583,0.2191735150798,4.57981278536487,4.65392318436926e-06,1.95253013019505e-05
"ZNF211",64,102,327,286,1.94789146648924,3.12851119187497,6.52533294312578,0.000404743034666157,0.00162095217653206,0.268412412971757,195.182725564958,84.0241896822189,306.341261447696,3.64586986921605,1.86626306867626,6.648607674698e-08,3.98315424058425e-07,194.607711959703,1.8343393287505,0.346974146367743,5.28667437603943,1.24560076884459e-07,6.55010021931628e-07
"ZNF212",1287,1065,413,508,-1.33266579227518,5.34377851628972,-7.94162333747369,0.000125111741833272,0.000691218781696566,1.24363028814837,814.775102817725,1169.46169952898,460.088506106468,0.393419045952317,-1.34586129274668,2.62720264916147e-08,1.68336921125139e-07,815.433126281707,-1.34652793740652,0.222623061383159,-6.04846563981527,1.46231800289867e-09,9.8548573716942e-09
