ProbeIDs	GAOM_10	GAOM_11	GAOM_1	GAOM_2	GAOM_3	GAOM_6
Gpr39	21	20	8	27	18	37
Gpr4	1	0	0	1	1	1
Gpr44	0	0	0	0	0	0
Gpr45	0	0	0	0	0	0
Gpr50	0	0	0	0	0	0
Gpr52	0	0	0	0	0	0
Gpr55	0	0	0	1	0	0
Gpr56	355	385	138	210	329	327
Gpr6	0	0	0	0	0	0
Gpr61	0	0	0	0	0	0
Gpr62	0	1	0	0	1	0
Gpr63	4	0	2	0	0	3
Gpr64	1	1	2	4	1	1
Gpr65	1	0	8	8	0	0
Gpr68	0	0	0	0	1	0
Gpr75	0	0	0	1	0	0
Gpr77	0	0	0	0	0	0
Gpr81	2	1	1	2	2	0
Gpr82	0	0	0	0	0	0
Gpr83	0	0	1	0	0	0
Gpr84	0	0	0	2	0	0
Gpr85	0	3	1	0	1	1
Gpr87	0	0	0	0	0	0
Gpr88	0	0	0	0	0	0
Gpr89	238	159	142	167	152	247
Gpr97	0	0	0	0	0	0
Gpr98	0	1	1	1	0	3
Gprasp1	56	96	61	66	77	77
Gprasp2	6	9	0	8	9	5
Gprc2a-rs5	0	0	0	0	0	0
Gprc5a	3	4	63	4	7	8
Gprc5b	15	13	12	31	12	11
Gprc5c	159	148	47	93	166	135
Gprc5d	0	0	0	0	0	0
Gprc6a	0	0	0	2	0	0
Gprin1	3	10	0	1	1	3
Gprin2	2	2	0	0	1	0
Gprin3	28	33	10	18	8	21
Gps1	78	59	57	65	62	84
Gps2	49	99	56	40	54	95
Gpsm1	89	82	269	80	91	100
Gpsm2	16	25	1	7	6	4
Gpsm3	3	2	5	7	0	0
Gpt	393	499	268	204	315	229
Gpt2	310	351	383	196	299	242
Gpx1	621	550	307	349	293	452
Gpx2	9	12	8	16	7	80
Gpx2-ps1	1	2	0	3	0	8
Gpx3	75	77	18	82	73	73
Gpx4	63	66	41	50	62	65
Gpx5	0	0	0	0	0	0
Gpx6	0	0	0	0	0	0
Gpx7	5	1	1	10	5	6
Gpx8	4	10	7	30	4	19
Gramd1a	340	359	281	176	263	348
Gramd1b	65	46	134	46	36	61
Gramd1c	40	31	36	31	24	40
Gramd2	0	0	0	0	0	0
Gramd3	341	474	382	343	438	394
Gramd4	96	123	55	83	73	88
Grap	6	7	0	10	0	1
Grap2	5	3	2	12	0	0
Grasp	67	49	23	24	54	40
Grb10	395	531	464	326	393	506
Grb14	10	9	6	14	6	14
Grb2	141	160	78	113	117	147
Grb7	87	127	56	42	91	54
Grcc10	144	143	82	64	92	134
Greb1	15	36	3	16	32	26
Greb1l	1	0	0	0	0	3
Grem1	0	0	0	0	0	0
Grem2	2	1	5	3	2	0
Grhl1	23	20	17	13	25	28
Grhl2	117	145	59	90	104	127
Grhl3	0	0	1	0	0	0
Grhpr	314	331	128	160	229	206
Gria1	1	0	0	0	0	0
Gria2	4	10	4	0	4	3
Gria3	8	22	14	10	11	14
Gria4	0	0	0	0	0	0
Grid1	0	0	0	0	0	0
Grid2	0	0	0	0	0	0
Grid2ip	0	0	0	0	0	0
Grifin	0	0	0	0	0	0
Grik1	0	0	0	0	0	0
Grik2	0	0	0	0	0	0
Grik3	8	2	1	8	0	28
Grik4	11	3	6	4	2	4
Grik5	39	43	26	20	17	25
Grin1	2	3	3	0	0	0
Grin2a	0	0	0	0	0	0
Grin2b	0	0	1	0	0	0
Grin2c	0	0	1	0	0	0
Grin2d	2	4	0	2	2	1
Grin3a	0	0	0	0	0	0
Grin3b	0	0	0	0	0	0
Grina	367	395	191	200	277	289
Grinl1a	773	724	475	557	698	734
Grip1	0	0	0	2	0	1
Grip2	0	0	1	0	1	0
Gripap1	90	99	73	61	57	119
Grk1	0	0	0	0	0	0
Grk4	0	8	3	4	2	6
Grk5	10	7	9	6	12	5
Grk6	140	130	85	90	108	105
Grlf1	314	304	202	230	154	268
Grm1	0	0	0	0	0	0
Grm2	0	0	0	0	0	0
Grm3	3	0	0	0	0	0
Grm4	0	0	0	0	0	0
Grm5	0	0	1	0	0	0
Grm6	0	0	0	0	0	0
Grm7	0	0	0	0	0	0
Grm8	0	0	0	0	0	0
Grn	749	674	326	361	503	518
Grp	0	0	0	0	0	0
Grpel1	379	339	339	320	379	396
Grpel2	171	230	201	126	198	215
Grpr	57	42	55	32	29	48
Grrp1	0	0	0	2	1	1
Grsf1	532	610	593	458	633	595
Grtp1	55	55	42	58	31	74
Grwd1	49	49	44	35	47	67
Grxcr1	0	0	0	0	0	0
Grxcr2	0	0	0	0	0	0
Gsbs	1	0	1	0	0	1
Gsc	0	0	0	0	0	0
Gsc2	0	0	0	0	0	0
Gsdma	1	0	0	0	0	0
Gsdma2	1	0	0	0	0	0
Gsdma3	0	0	0	0	0	0
Gsdmc	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0
Gsdmc3	0	0	0	0	0	0
Gsdmc4	0	0	0	1	0	0
Gsdmcl-ps	0	0	0	0	0	0
Gsdmcl1	0	0	0	0	0	0
Gsdmd	4	0	3	10	0	4
Gse1	115	142	55	47	68	95
Gsg1	0	0	0	0	0	0
Gsg1l	0	0	0	0	0	0
Gsg2	7	5	6	2	6	1
Gsk3a	205	238	156	150	183	216
Gsk3b	266	294	253	200	212	236
Gsn	153	92	84	603	53	158
Gspt1	1056	732	928	709	809	1003
Gspt2	13	19	8	5	7	13
Gsr	192	163	128	138	166	174
Gss	50	33	35	40	63	48
Gsta1	0	0	0	0	0	0
Gsta2	0	0	0	0	0	0
Gsta3	101	101	86	146	116	209
Gsta4	13	8	4	22	6	14
Gstcd	27	24	30	30	22	50
Gstk1	194	192	170	201	233	194
Gstm1	1072	1256	582	797	931	1415
Gstm2	473	530	303	349	509	384
Gstm3	6	3	1	0	1	4
Gstm4	71	71	30	48	65	85
Gstm5	202	171	124	198	157	266
Gstm6	17	16	13	18	18	31
Gstm7	251	217	149	154	253	167
Gsto1	384	283	300	248	297	333
Gsto2	0	1	3	0	1	0
Gstp1	649	695	298	380	485	713
Gstp2	0	0	0	1	0	0
Gstt1	222	316	179	265	254	303
Gstt2	206	178	153	148	175	154
